name	line	offset
Lib90_00341	HCC827	43825
Lib90_00342	H1975	46185
Lib90_00343	H838	39945
Lib90_00344	H838	42396
Lib90_00345	H838	46185
Lib90_00346	H1975	45785
Lib90_00347	HCC827	45791
Lib90_00348	A549	43796
Lib90_00349	H838	41154
Lib90_00350	H838	42582
Lib90_00351	H838	42475
Lib90_00352	H838	41637
Lib90_00353	H2228	43224
Lib90_00354	A549	42215
Lib90_00355	H838	45047
Lib90_00356	H838	44252
Lib90_00357	H1975	47633
Lib90_00358	H1975	43339
Lib90_00359	H2228	41498
Lib90_00360	H838	42607
Lib90_00361	H838	40038
Lib90_00362	H1975	41074
Lib90_00363	HCC827	45481
Lib90_00364	H1975	42309
Lib90_00365	H1975	44413
Lib90_00366	H1975	41922
Lib90_00367	H838	40868
Lib90_00368	HCC827	44869
Lib90_00369	H838	43565
Lib90_00370	HCC827	44794
Lib90_00371	HCC827	46639
Lib90_00372	HCC827	46230
Lib90_00373	H838	42186
Lib90_00374	H838	44363
Lib90_00375	H838	42791
Lib90_00376	H2228	43503
Lib90_00377	HCC827	42578
Lib90_00378	H838	41858
Lib90_00379	H1975	40890
Lib90_00380	H838	41015
Lib90_00381	H838	44123
Lib90_00382	H1975	45529
Lib90_00383	HCC827	43196
Lib90_00384	H838	44928
Lib90_00385	H1975	43383
Lib90_00386	H838	42948
Lib90_00387	H838	41325
Lib90_00388	A549	47470
Lib90_00389	HCC827	43563
Lib90_00390	H838	40088
Lib90_00391	H1975	41597
Lib90_00392	H1975	45660
Lib90_00393	H1975	43343
Lib90_00394	H1975	42234
Lib90_00395	H838	41521
Lib90_00396	H838	40942
Lib90_00397	H838	43497
Lib90_00398	H838	41105
Lib90_00399	H838	42941
Lib90_00400	H2228	42507
Lib90_00401	H838	39830
Lib90_00402	H838	40450
Lib90_00403	HCC827	43096
Lib90_00404	H2228	38532
Lib90_00405	HCC827	41579
Lib90_00406	H2228	44801
Lib90_00407	H838	43743
Lib90_00408	H838	40520
Lib90_00409	H838	42891
Lib90_00410	H1975	40874
Lib90_00411	H838	41261
Lib90_00412	H838	42161
Lib90_00413	HCC827	44909
Lib90_00414	H838	39868
Lib90_00415	H838	39451
Lib90_00416	H838	41065
Lib90_00417	H2228	43793
Lib90_00418	H1975	42311
Lib90_00419	H838	43347
Lib90_00420	HCC827	43762
Lib90_00421	H1975	39923
Lib90_00422	H838	40817
Lib90_00423	H1975	40746
Lib90_00424	H838	41336
Lib90_00425	H838	43787
Lib90_00426	H838	42913
Lib90_00427	H1975	45405
Lib90_00428	H838	40327
Lib90_00429	H838	40766
Lib90_00430	H838	41849
Lib90_00431	H1975	42079
Lib90_00432	H838	39373
Lib90_00433	H2228	43441
Lib90_00434	H1975	43056
Lib90_00435	H2228	40619
Lib90_00436	H838	38959
Lib90_00437	H838	40893
Lib90_00438	H2228	43845
Lib90_00439	H1975	46304
Lib90_00440	H838	41643
Lib90_00441	H2228	43260
Lib90_00442	HCC827	42158
Lib90_00443	HCC827	43059
Lib90_00444	H1975	41859
Lib90_00445	HCC827	44407
Lib90_00446	H838	38051
Lib90_00447	HCC827	42840
Lib90_00448	HCC827	42161
Lib90_00449	H838	41297
Lib90_00450	H838	41707
Lib90_00451	H838	36821
Lib90_00452	H2228	40822
Lib90_00453	H838	41781
Lib90_00454	H838	41359
Lib90_00455	H838	40081
Lib90_00456	H2228	43141
Lib90_00457	H838	43228
Lib90_00458	H1975	41763
Lib90_00459	H1975	40990
Lib90_00460	H838	38880
Lib90_00461	HCC827	41551
Lib90_00462	H1975	43954
Lib90_00463	H838	39375
Lib90_00464	H838	42498
Lib90_00465	A549	43002
Lib90_00466	H838	39991
Lib90_00467	HCC827	45197
Lib90_00468	H1975	42142
Lib90_00469	H838	39235
Lib90_00470	H838	40340
Lib90_00471	H1975	39184
Lib90_00472	H1975	41423
Lib90_00473	H838	40762
Lib90_00474	H838	39339
Lib90_00475	H1975	43139
Lib90_00476	H1975	43476
Lib90_00477	H838	38944
Lib90_00478	HCC827	42756
Lib90_00479	H838	43253
Lib90_00480	H1975	41564
Lib90_00481	H838	40667
Lib90_00482	H838	41022
Lib90_00483	H1975	42404
Lib90_00484	H1975	41207
Lib90_00485	H838	39913
Lib90_00486	H1975	40932
Lib90_00487	H838	41608
Lib90_00488	H838	40750
Lib90_00489	H838	41591
Lib90_00490	H838	41593
Lib90_00491	H1975	37552
Lib90_00492	H838	40753
Lib90_00493	H838	41672
Lib90_00494	HCC827	42057
Lib90_00495	H1975	40217
Lib90_00496	H838	39938
Lib90_00497	H838	39029
Lib90_00498	HCC827	42454
Lib90_00499	H838	39658
Lib90_00500	H838	39461
Lib90_00501	H838	40718
Lib90_00502	H838	38140
Lib90_00503	H838	39040
Lib90_00504	H1975	42526
Lib90_00505	H838	39781
Lib90_00506	H838	38988
Lib90_00507	HCC827	45055
Lib90_00508	A549	42086
Lib90_00509	H838	44541
Lib90_00510	H838	40986
Lib90_00511	H838	39657
Lib90_00512	HCC827	43390
Lib90_00513	A549	43292
Lib90_00514	H838	39121
Lib90_00515	HCC827	43620
Lib90_00516	H2228	40253
Lib90_00517	H2228	41165
Lib90_00518	HCC827	39624
Lib90_00519	H838	42651
Lib90_00520	HCC827	43462
Lib90_00521	H838	40827
Lib90_00522	H1975	41716
Lib90_00523	H1975	43075
Lib90_00524	H2228	40459
Lib90_00525	H838	36670
Lib90_00526	H838	40964
Lib90_00527	H838	40397
Lib90_00528	HCC827	40633
Lib90_00529	H1975	36949
Lib90_00530	H838	37218
Lib90_00531	H838	39739
Lib90_00532	H838	40702
Lib90_00533	H838	38904
Lib90_00534	HCC827	43265
Lib90_00535	HCC827	42879
Lib90_00536	A549	39955
Lib90_00537	H1975	39862
Lib90_00538	H838	39870
Lib90_00539	H1975	41783
Lib90_00540	A549	41915
Lib90_00541	H1975	39632
Lib90_00542	HCC827	41529
Lib90_00543	HCC827	41744
Lib90_00544	H838	39226
Lib90_00545	HCC827	41972
Lib90_00546	H838	37755
Lib90_00547	H838	39763
Lib90_00548	H1975	40630
Lib90_00549	H1975	41707
Lib90_00550	H1975	38898
Lib90_00551	H838	41849
Lib90_00552	HCC827	41790
Lib90_00553	H2228	41901
Lib90_00554	HCC827	41482
Lib90_00555	H2228	39223
Lib90_00556	H1975	42099
Lib90_00557	H838	36134
Lib90_00558	H2228	39042
Lib90_00559	HCC827	42160
Lib90_00560	H1975	38210
Lib90_00561	HCC827	39902
Lib90_00562	H1975	39137
Lib90_00563	HCC827	41084
Lib90_00564	H838	37229
Lib90_00565	H2228	39846
Lib90_00566	HCC827	39976
Lib90_00567	H838	38180
Lib90_00568	H2228	37717
Lib90_00569	H838	37540
Lib90_00570	HCC827	42028
Lib90_00571	A549	39665
Lib90_00572	H838	40672
Lib90_00573	H1975	43274
Lib90_00574	H838	38395
Lib90_00575	A549	41128
Lib90_00576	H2228	38122
Lib90_00577	HCC827	41448
Lib90_00578	H2228	39159
Lib90_00579	H838	37929
Lib90_00580	H838	40162
Lib90_00581	H2228	39930
Lib90_00582	H838	37881
Lib90_00583	H838	39822
Lib90_00584	HCC827	40053
Lib90_00585	H838	38994
Lib90_00586	H2228	37824
Lib90_00587	H838	39598
Lib90_00588	H838	39635
Lib90_00589	H2228	41322
Lib90_00590	H2228	39177
Lib90_00591	H2228	41217
Lib90_00592	H838	38232
Lib90_00593	H838	38805
Lib90_00594	H1975	42102
Lib90_00595	H2228	39107
Lib90_00596	H838	38014
Lib90_00597	HCC827	39737
Lib90_00598	HCC827	39640
Lib90_00599	HCC827	40331
Lib90_00600	H2228	36779
Lib90_00601	H838	35785
Lib90_00602	H1975	41104
Lib90_00603	H838	39187
Lib90_00604	H1975	39740
Lib90_00605	H838	37576
Lib90_00606	H838	37655
Lib90_00607	H1975	40026
Lib90_00608	H2228	40478
Lib90_00609	H2228	35990
Lib90_00610	H838	35147
Lib90_00611	HCC827	40457
Lib90_00612	H1975	38958
Lib90_00613	H2228	39408
Lib90_00614	A549	40059
Lib90_00615	HCC827	42843
Lib90_00616	H838	37954
Lib90_00617	H1975	39446
Lib90_00618	H838	37200
Lib90_00619	A549	37061
Lib90_00620	H1975	41119
Lib90_00621	A549	41331
Lib90_00622	H838	37973
Lib90_00623	H2228	38651
Lib90_00624	H838	35832
Lib90_00625	H2228	38998
Lib90_00626	H838	37139
Lib90_00627	H2228	38073
Lib90_00628	H838	36922
Lib90_00629	H1975	39904
Lib90_00630	H1975	40459
Lib90_00631	HCC827	39519
Lib90_00632	HCC827	41827
Lib90_00633	H838	37735
Lib90_00634	H1975	38649
Lib90_00635	H838	36551
Lib90_00636	H838	39327
Lib90_00637	H838	35150
Lib90_00638	H2228	36432
Lib90_00639	H1975	40457
Lib90_00640	H1975	39655
Lib90_00641	H838	37876
Lib90_00642	A549	41174
Lib90_00643	H2228	34695
Lib90_00644	HCC827	39021
Lib90_00645	H838	38218
Lib90_00646	H1975	36575
Lib90_00647	H838	38491
Lib90_00648	H2228	37676
Lib90_00649	HCC827	39126
Lib90_00650	H838	35659
Lib90_00651	H838	37046
Lib90_00652	H2228	39536
Lib90_00653	H838	35358
Lib90_00654	A549	39198
Lib90_00655	H1975	37627
Lib90_00656	HCC827	39635
Lib90_00657	H838	37083
Lib90_00658	H838	37813
Lib90_00659	H838	37336
Lib90_00660	H838	37257
Lib90_00661	H1975	40006
Lib90_00662	HCC827	42028
Lib90_00663	H838	37558
Lib90_00664	H2228	38022
Lib90_00665	H838	38534
Lib90_00666	HCC827	35153
Lib90_00667	H838	39223
Lib90_00668	H2228	38952
Lib90_00669	H2228	35691
Lib90_00670	H2228	37144
Lib90_00671	H1975	37559
Lib90_00672	H838	36599
Lib90_00673	H838	38389
Lib90_00674	H838	33939
Lib90_00675	A549	39808
Lib90_00676	HCC827	39848
Lib90_00677	H1975	40189
Lib90_00678	H838	37326
Lib90_00679	HCC827	40465
Lib90_00680	H838	36206
Lib90_00681	H838	36060
Lib90_00682	H838	38495
Lib90_00683	H838	35841
Lib90_00684	H838	36222
Lib90_00685	H2228	36769
Lib90_00686	A549	39227
Lib90_00687	H838	38010
Lib90_00688	H838	36255
Lib90_00689	H838	38224
Lib90_00690	H838	39040
Lib90_00691	HCC827	39524
Lib90_00692	H838	35998
Lib90_00693	H2228	37200
Lib90_00694	H2228	40728
Lib90_00695	H838	38675
Lib90_00696	H838	35690
Lib90_00697	H2228	37263
Lib90_00698	H1975	34466
Lib90_00699	H838	36307
Lib90_00700	HCC827	37730
Lib90_00701	HCC827	37752
Lib90_00702	H838	38216
Lib90_00703	H838	35563
Lib90_00704	H838	37742
Lib90_00705	H2228	35769
Lib90_00706	H1975	37764
Lib90_00707	H2228	35797
Lib90_00708	HCC827	38194
Lib90_00709	H838	36570
Lib90_00710	HCC827	38865
Lib90_00711	H838	36797
Lib90_00712	H838	34927
Lib90_00713	H838	37971
Lib90_00714	H838	37016
Lib90_00715	H1975	38179
Lib90_00716	H2228	36174
Lib90_00717	H2228	37290
Lib90_00718	H1975	35586
Lib90_00719	H838	37782
Lib90_00720	HCC827	40022
Lib90_00721	H2228	38744
Lib90_00722	A549	38195
Lib90_00723	H838	36306
Lib90_00724	H838	35678
Lib90_00725	H838	40110
Lib90_00726	HCC827	31798
Lib90_00727	HCC827	35699
Lib90_00728	HCC827	37712
Lib90_00729	H838	36533
Lib90_00730	H838	40960
Lib90_00731	H838	36789
Lib90_00732	A549	37567
Lib90_00733	HCC827	39107
Lib90_00734	H838	35367
Lib90_00735	H2228	33005
Lib90_00736	H2228	36977
Lib90_00737	H2228	36805
Lib90_00738	H838	35055
Lib90_00739	H2228	37112
Lib90_00740	A549	40087
Lib90_00741	H1975	37897
Lib90_00742	H838	37079
Lib90_00743	H2228	35321
Lib90_00744	H838	35515
Lib90_00745	H2228	37841
Lib90_00746	H838	37126
Lib90_00747	HCC827	38309
Lib90_00748	H2228	35180
Lib90_00749	H2228	38134
Lib90_00750	H838	36410
Lib90_00751	H2228	35759
Lib90_00752	HCC827	37408
Lib90_00753	H2228	36453
Lib90_00754	H838	36396
Lib90_00755	H2228	34604
Lib90_00756	H838	36728
Lib90_00757	A549	37622
Lib90_00758	H1975	37702
Lib90_00759	H838	38423
Lib90_00760	H1975	35364
Lib90_00761	H2228	32229
Lib90_00762	H838	36751
Lib90_00763	H838	37577
Lib90_00764	H2228	35718
Lib90_00765	H838	36866
Lib90_00766	HCC827	35185
Lib90_00767	H838	34853
Lib90_00768	H1975	38340
Lib90_00769	H2228	32647
Lib90_00770	HCC827	36395
Lib90_00771	H838	35505
Lib90_00772	H2228	34012
Lib90_00773	H838	35940
Lib90_00774	HCC827	37297
Lib90_00775	A549	38731
Lib90_00776	A549	37978
Lib90_00777	H1975	38509
Lib90_00778	H1975	33724
Lib90_00779	HCC827	38511
Lib90_00780	A549	38122
Lib90_00781	HCC827	38108
Lib90_00782	A549	38271
Lib90_00783	H838	34944
Lib90_00784	HCC827	36593
Lib90_00785	A549	38195
Lib90_00786	H1975	36762
Lib90_00787	H838	35575
Lib90_00788	H838	36275
Lib90_00789	HCC827	38590
Lib90_00790	H838	35020
Lib90_00791	H2228	34412
Lib90_00792	HCC827	36955
Lib90_00793	H2228	37632
Lib90_00794	H2228	34584
Lib90_00795	H2228	35696
Lib90_00796	A549	35867
Lib90_00797	H2228	36180
Lib90_00798	HCC827	35389
Lib90_00799	H838	35987
Lib90_00800	H838	37481
Lib90_00801	H2228	37167
Lib90_00802	H838	34935
Lib90_00803	HCC827	37395
Lib90_00804	H838	35205
Lib90_00805	H2228	36873
Lib90_00806	H2228	35319
Lib90_00807	H838	35488
Lib90_00808	H838	37027
Lib90_00809	H838	38119
Lib90_00810	H838	35596
Lib90_00811	HCC827	39875
Lib90_00812	H2228	35564
Lib90_00813	HCC827	39212
Lib90_00814	HCC827	37886
Lib90_00815	H1975	37154
Lib90_00816	H838	34580
Lib90_00817	H838	34574
Lib90_00818	H838	33955
Lib90_00819	H2228	34086
Lib90_00820	H838	34407
Lib90_00821	H838	38100
Lib90_00822	H2228	34693
Lib90_00823	A549	35403
Lib90_00824	H838	35570
Lib90_00825	H2228	33305
Lib90_00826	H2228	35175
Lib90_00827	H838	36296
Lib90_00828	HCC827	36211
Lib90_00829	H1975	36155
Lib90_00830	H838	35923
Lib90_00831	HCC827	35641
Lib90_00832	A549	39016
Lib90_00833	H1975	34442
Lib90_00834	HCC827	39501
Lib90_00835	H838	34530
Lib90_00836	HCC827	37477
Lib90_00837	H838	34217
Lib90_00838	H2228	34206
Lib90_00839	H838	35262
Lib90_00840	H838	38433
Lib90_00841	HCC827	35379
Lib90_00842	H838	37369
Lib90_00843	H838	34758
Lib90_00844	H838	35408
Lib90_00845	H2228	35864
Lib90_00846	H838	34093
Lib90_00847	HCC827	37249
Lib90_00848	HCC827	37852
Lib90_00849	A549	36019
Lib90_00850	H1975	34812
Lib90_00851	H838	34495
Lib90_00852	H838	35937
Lib90_00853	H838	35112
Lib90_00854	HCC827	34582
Lib90_00855	HCC827	38716
Lib90_00856	H2228	35329
Lib90_00857	H1975	35607
Lib90_00858	H838	35259
Lib90_00859	HCC827	38460
Lib90_00860	HCC827	38338
Lib90_00861	H2228	33391
Lib90_00862	HCC827	36392
Lib90_00863	H838	33670
Lib90_00864	H1975	36429
Lib90_00865	H1975	35667
Lib90_00866	H838	32651
Lib90_00867	H1975	36142
Lib90_00868	H2228	36817
Lib90_00869	H2228	34438
Lib90_00870	H838	35858
Lib90_00871	H838	35552
Lib90_00872	H838	35047
Lib90_00873	H1975	36663
Lib90_00874	H838	34548
Lib90_00875	A549	33875
Lib90_00876	H1975	34497
Lib90_00877	H1975	35861
Lib90_00878	H838	36044
Lib90_00879	H1975	33865
Lib90_00880	H2228	35029
Lib90_00881	H2228	35775
Lib90_00882	H2228	35384
Lib90_00883	H838	32488
Lib90_00884	H2228	35434
Lib90_00885	HCC827	36214
Lib90_00886	H1975	36157
Lib90_00887	HCC827	35954
Lib90_00888	H2228	34006
Lib90_00889	H2228	35453
Lib90_00890	H838	32696
Lib90_00891	H838	33570
Lib90_00892	H838	32126
Lib90_00893	H1975	32973
Lib90_00894	H2228	34025
Lib90_00895	H2228	33879
Lib90_00896	H2228	32349
Lib90_00897	H2228	30821
Lib90_00898	H2228	35830
Lib90_00899	H838	33821
Lib90_00900	H2228	33148
Lib90_00901	H1975	33540
Lib90_00902	HCC827	37529
Lib90_00903	H838	34338
Lib90_00904	H1975	38073
Lib90_00905	HCC827	34964
Lib90_00906	H838	33133
Lib90_00907	H838	35593
Lib90_00908	HCC827	35504
Lib90_00909	H838	36607
Lib90_00910	A549	37985
Lib90_00911	H2228	35960
Lib90_00912	H2228	33107
Lib90_00913	H838	34528
Lib90_00914	HCC827	35360
Lib90_00915	H1975	34516
Lib90_00916	H838	32568
Lib90_00917	H2228	37101
Lib90_00918	A549	33456
Lib90_00919	H1975	37668
Lib90_00920	H1975	35614
Lib90_00921	H2228	31313
Lib90_00922	H838	37146
Lib90_00923	HCC827	36788
Lib90_00924	H838	33946
Lib90_00925	H838	35067
Lib90_00926	H1975	34168
Lib90_00927	H2228	32920
Lib90_00928	H1975	35710
Lib90_00929	H1975	33156
Lib90_00930	H2228	31563
Lib90_00931	HCC827	33884
Lib90_00932	A549	35438
Lib90_00933	H2228	35333
Lib90_00934	H838	33679
Lib90_00935	H838	35122
Lib90_00936	H838	34277
Lib90_00937	H1975	32830
Lib90_00938	H2228	32636
Lib90_00939	H2228	34934
Lib90_00940	H838	32634
Lib90_00941	H838	32654
